Address,Post Codes,Property Type,Model,Managed by,Local Authority,Region,Count,Tenancy Type,Status
"42 Spring Lane, 8 Ash Green, Forsham Heath, Colchester, CO3 9TH",CO3 9TH,Bungalow,Owned,Transforming Care,Colchester,South East,1,Single,Active
"196 Arundel Road, Peacehaven, East Sussex, BN10 8HY",BN10 8HY,Bungalow,Owned,Transforming Care,Lewes,South East,1,Single,Active
"25 The Highway, Peacehaven. BN10 8XL",BN10 8XL,Bungalow,Owned,Transforming Care,Lewes,South East,1,Single,Active
"31 Orchard Drive, Great Holland, Frinton On Sea, Essex, CO13 0SB",CO13 0SB,Bungalow,Owned,Transforming Care,Tendring,South West,1,Single,Active
"Heathmoor Tan House Lane, Burtonwood, Warrington, WA5 4BY",WA5 4BY,Bungalow,Owned,Transforming Care,Warrington,North West,1,Single,Active
